Word,CEFR,Definition,Synonyms
abrasiveness,C2,the roughness of a substance that causes abrasions,"harshness, scratchiness"
abrasives,C2,a substance that abrades or wears down,"abradant, abrasive_material, abrasive"
abraxas,C2,,
abrazo,C2,,
abreaction,C2,(psychoanalysis) purging of emotional tensions,"katharsis, catharsis"
abreast,C2,being up to particular standard or level especially in being up to date in knowledge,"au_fait, au_courant, up_on"
abrege,C2,,
abri,C2,,
abridge,C2,reduce in scope while retaining essential elements,"abbreviate, cut, contract, foreshorten, reduce"
abridged,C2,reduce in scope while retaining essential elements,"abbreviate, cut, contract, foreshorten, abridge"
abridgement,C2,a shortened version of a written work,"abridgment, condensation, capsule"
abridgements,C2,a shortened version of a written work,"abridgment, condensation, capsule, abridgement"
abridges,C2,reduce in scope while retaining essential elements,"abbreviate, cut, contract, foreshorten, abridge"
abridging,C2,reduce in scope while retaining essential elements,"abbreviate, cut, contract, foreshorten, abridge"
abridgment,C2,a shortened version of a written work,"condensation, capsule, abridgement"
abridgments,C2,a shortened version of a written work,"abridgment, condensation, capsule, abridgement"
abrin,C2,,
abroad,A2,in a foreign country,"overseas, afield"
abrogate,C2,revoke formally,
abrogated,C2,revoke formally,abrogate
abrogates,C2,revoke formally,abrogate
abrogating,C2,revoke formally,abrogate
abrogation,C2,the act of abrogating; an official or legal cancellation,"annulment, repeal"
abrogations,C2,the act of abrogating; an official or legal cancellation,"abrogation, annulment, repeal"
abronia,C2,genus of western North American herbs having showy flowers,genus_Abronia
abrood,C2,,
abrupt,C1,marked by sudden changes in subject and sharp transitions,"precipitous, disconnected, sharp"
abruptio,C2,,
abruption,C1,an instance of sudden interruption,breaking_off
abruptly,B2,quickly and without warning,"suddenly, dead, short"
abruptness,C1,an abrupt discourteous manner,"curtness, steepness, precipitancy, shortness, precipitance"
abrus,C2,,
abruzzi,C2,a mountainous region of central Italy on the Adriatic,Abruzzi_e_Molise
abs,B2,any of a class of composite plastics used to make car bodies and cases for computers and other appliances,"Bachelor_of_Arts, Ab, AB, Av, acrylonitrile-butadiene-styrene"
absalom,C2,,
absaroka,C2,,
abscam,C2,,
abscess,C2,symptom consisting of a localized collection of pus surrounded by inflamed tissue,
abscessed,C2,infected and filled with pus,
abscesses,C2,symptom consisting of a localized collection of pus surrounded by inflamed tissue,abscess
abscised,C2,shed flowers and leaves and fruit following formation of a scar tissue,abscise
abscissa,C2,the value of a coordinate on the horizontal axis,
abscissae,C2,the value of a coordinate on the horizontal axis,abscissa
abscissas,C2,the value of a coordinate on the horizontal axis,abscissa
abscission,C2,shedding of flowers and leaves and fruit following formation of scar tissue in a plant,cutting_off
abscond,C2,run away; usually includes taking something or somebody along,"go_off, make_off, decamp, run_off, bolt"
absconded,C2,run away; usually includes taking something or somebody along,"go_off, abscond, make_off, decamp, run_off"
absconder,C2,a fugitive who runs away and hides to avoid arrest or prosecution,
absconders,C2,a fugitive who runs away and hides to avoid arrest or prosecution,absconder
absconding,C2,run away; usually includes taking something or somebody along,"go_off, abscond, make_off, decamp, run_off"
absconds,C2,run away; usually includes taking something or somebody along,"go_off, abscond, make_off, decamp, run_off"
abseil,C2,(mountaineering) a descent of a vertical cliff or wall made by using a doubled rope that is fixed to a higher point and wrapped around the body,"rappel, rope_down"
abseiling,C2,lower oneself with a rope coiled around the body from a mountainside,"rappel, abseil, rope_down"
absence,B1,the state of being absent,
absences,B1,the state of being absent,absence
absent,B1,go away or leave,"missing, remove, wanting, lacking"
absented,B1,go away or leave,"remove, absent"
absentee,B2,one that is absent or not in residence,
absenteeism,C2,habitual absence from work,
absentees,B2,one that is absent or not in residence,absentee
absentia,B1,,
absenting,B1,go away or leave,"remove, absent"
absently,B1,in an absentminded or preoccupied manner,"absentmindedly, inattentively, abstractedly"
absentminded,C2,lost in thought; showing preoccupation,"absent, scatty, abstracted"
absentmindedly,C2,in an absentminded or preoccupied manner,"inattentively, absently, abstractedly"
absentmindedness,C2,preoccupation so great that the ordinary demands on attention are ignored,
absents,B1,go away or leave,"remove, absent"
absi,C2,,
absinth,C2,strong green liqueur flavored with wormwood and anise,absinthe
absinthe,C2,aromatic herb of temperate Eurasia and North Africa having a bitter taste used in making the liqueur absinthe,"absinth, common_wormwood, Artemisia_absinthium, old_man, lad's_love"
absinthium,C2,,
absolute,B1,something that is conceived or that exists independently and not in relation to other things; something that does not depend on anything else and is beyond human control; something that is not relative,"out-and-out, right-down, sheer, rank, downright"
absolutely,B1,completely and without qualification; used informally as intensifiers,"utterly, dead, perfectly"
absoluteness,C2,the quality of being complete or utter or extreme,"starkness, utterness"
absolutes,B1,something that is conceived or that exists independently and not in relation to other things; something that does not depend on anything else and is beyond human control; something that is not relative,absolute
absolution,C2,the condition of being formally forgiven by a priest in the sacrament of penance,"remission, remittal, remission_of_sin"
absolutions,C2,the condition of being formally forgiven by a priest in the sacrament of penance,"remission, absolution, remittal, remission_of_sin"
absolutism,C2,dominance through threat of punishment and violence,"Caesarism, Stalinism, dictatorship, shogunate, authoritarianism"
absolutist,C2,one who advocates absolutism,absolutistic
absolutistic,C2,pertaining to the principle of totalitarianism,absolutist
absolutists,C2,one who advocates absolutism,absolutist
absolutive,C2,,
absolutization,C2,,
absolutize,C2,,
absolve,C2,grant remission of a sin to,"shrive, justify, free"
absolved,C2,grant remission of a sin to,"exonerated, shrive, justify, exculpated, clear"
absolves,C2,grant remission of a sin to,"shrive, free, justify, absolve"
absolving,C2,grant remission of a sin to,"shrive, free, justify, absolve"
absorb,B1,become imbued,"ingest, take_over, take_in, assimilate"
absorbability,B1,,
absorbable,B1,capable of being absorbed or taken in through the pores of a surface,
absorbance,B1,(physics) a measure of the extent to which a substance transmits light or other electromagnetic radiation,"transmission_density, optical_density, photographic_density"
absorbancy,B1,,
absorbant,B1,,
absorbed,B1,become imbued,"ingest, assimilate, take_in, absorb, take_over"
absorbedly,B1,,
absorbency,B1,the property of being absorbent,
absorbent,B1,a material having capacity or tendency to absorb another substance,"absorptive, absorbent_material"
absorbents,B1,a material having capacity or tendency to absorb another substance,"absorbent, absorbent_material"
absorber,B1,(physics) material in a nuclear reactor that absorbs radiation,
absorbers,B1,(physics) material in a nuclear reactor that absorbs radiation,absorber
absorbing,B1,become imbued,"ingest, assimilate, take_in, absorb, take_over"
absorbingly,B1,,
absorbs,B1,become imbued,"ingest, assimilate, take_in, absorb, take_over"
absorbtion,C2,,
absorpt,B1,,
